"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Auth Feature","Join Meeting AS A Guest","0","0","3","0","0"
"","Auth Feature","Login with Invitation link","0","0","8","0","0"
"","Channel Feature","Pin And Unpin Channel General","0","0","1","0","0"
"","Auth Feature","Login with LinkDevice Identity","0","0","5","0","0"
"","Auth Feature","","0","2","0","0","0"
"","ChatOneToOne Feature","Start Chat One To One","0","0","1","0","0"
"","Meeting Feature","Create meeting private","0","0","1","0","0"
"","Channel Feature","","0","1","0","0","0"
"","Channel Feature","Create channel public","0","0","1","0","0"
"","Meeting Feature","","0","2","0","0","0"
"","Auth Feature","Terms And Conditions","0","0","1","0","0"
"","Meeting Feature","Create meeting public","0","0","1","0","0"
"","Channel Feature","Create channel Locked","0","0","1","0","0"
"","Channel Feature","Join General Channel","0","0","1","0","0"
